year_film,year_ceremony,ceremony,category,film,Best_Pic_Winner,imdb_title_id,genre,duration,country,language,writer,production_company,actors,description,first_director,Director,director_id,Dir_Cum_Films,Producer,count_of_film_nominations,nominated_for_best_director,best_directing_win,first_dir,best_directing_nomination_sum,best_directing_win_sum,prior_best_directing_nominations,prior_best_directing_wins,running_best_picture_nomination,Globes_Best_Dir_Winner,Globes_Best_Pic_Winner,bafta,cannes,DGA_Winner,Drama,Adventure,War,Musical,Sci-Fi,Thriller,Romance,Animation,Film-Noir,Horror,Mystery,Music,Action,Crime,Family,Fantasy,Sport,Biography,Comedy,History,Western
1929,1930,3,OUTSTANDING PRODUCTION,DISRAELI,FALSE,tt0019823,"Biography, Drama, History",90,USA,English,Julien Josephson,Warner Bros.,"George Arliss, Doris Lloyd, David Torrence, Joan Bennett, Florence Arliss, Anthony Bushell, Michael Visaroff",Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.,Alfred E. Green,Alfred E. Green,nm0337586,41,No,3,0,0,Alfred E. Green,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1930,1930,3,OUTSTANDING PRODUCTION,THE DIVORCEE,FALSE,tt0020827,"Romance, Drama",84,USA,"English, French","Ursula Parrott, Nick Grinde",Metro-Goldwyn-Mayer (MGM),"Norma Shearer, Chester Morris, Conrad Nagel, Robert Montgomery, Florence Eldridge, Helene Millard, Robert Elliott, Mary Doran, Tyler Brooke, Zelda Sears, George Irving, Judith Wood","When a woman discovers that her husband has been unfaithful to her, she decides to respond to his infidelities in kind.",Robert Z. Leonard,Robert Z. Leonard,nm0502752,113,Yes,4,1,FALSE,Robert Z. Leonard,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,1930,3,OUTSTANDING PRODUCTION,THE LOVE PARADE,FALSE,tt0020112,"Comedy, Musical, Romance",107,USA,"English, French","Ernest Vajda, Guy Bolton",Paramount Pictures,"Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth, Eugene Pallette, E.H. Calvert, Edgar Norton, Lionel Belmore, Russ Powell, Carl Stockdale, Albert Roccardi, Anton Vaverka, Albert De Winton, William von Hardenburg, Margaret Fealy","The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.",Ernst Lubitsch,Ernst Lubitsch,nm0523932,53,No,5,1,FALSE,Ernst Lubitsch,2,0,1,0,2,x,x,x,x,x,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1931,1931,4,OUTSTANDING PRODUCTION,CIMARRON,TRUE,tt0021746,"Drama, Western",123,USA,"English, French","Edna Ferber, Howard Estabrook",RKO Radio Pictures,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier Jr., Roscoe Ates, George E. Stone, Stanley Fields, Robert McWade, Edna May Oliver, Judith Barrett, Eugene Jackson, Roberta Gregory",A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,Wesley Ruggles,Wesley Ruggles,nm0749484,60,Yes,7,1,FALSE,Wesley Ruggles,1,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1931,1931,4,OUTSTANDING PRODUCTION,EAST LYNNE,FALSE,tt0021826,"Drama, Romance",102,,,,,,,Frank Lloyd,Frank Lloyd,nm0515979,115,Yes,1,0,0,Frank Lloyd,1,1,1,1,1,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,1931,4,OUTSTANDING PRODUCTION,THE FRONT PAGE,FALSE,tt0021890,Comedy,101,USA,English,"Ben Hecht, Charles MacArthur",The Caddo Company,"Adolphe Menjou, Pat O'Brien, Mary Brian, Edward Everett Horton, Walter Catlett, George E. Stone, Mae Clarke, Slim Summerville, Matt Moore, Frank McHugh, Clarence Wilson, Fred Howard, Phil Tead, Eugene Strong, Spencer Charters",An investigative reporter sees an opportunity for the story of a lifetime when an accused murderer escapes hanging.,Lewis Milestone,Lewis Milestone,nm0587277,17,Yes,3,1,FALSE,Lewis Milestone,3,2,2,2,3,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1931,1931,4,OUTSTANDING PRODUCTION,SKIPPY,FALSE,tt0022397,"Comedy, Drama, Family",85,USA,English,"Percy Crosby, Joseph L. Mankiewicz",Paramount Pictures,"Jackie Cooper, Robert Coogan, Mitzi Green, Jackie Searl, Willard Robertson, Enid Bennett, Donald Haines, Helen Jerome Eddy, Carl R. Botefuhr","Skippy, the mischievous son of a wealthy doctor, meets Sooky in poverty-ridden Shantytown, and together they try to save Sooky's pet from a cruel dogcatcher.",Norman Taurog,Norman Taurog,nm0851537,116,No,4,1,TRUE,Norman Taurog,1,1,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1931,1931,4,OUTSTANDING PRODUCTION,TRADER HORN,FALSE,tt0022495,"Action, Adventure, Drama",122,USA,"English, Swahili","Ethelreda Lewis, Dale Van Every",Metro-Goldwyn-Mayer (MGM),"Harry Carey, Edwina Booth, Duncan Renaldo, Mutia Omoolu, Olive Carey, Bob Kortman, Marjorie Rambeau","Two white traders in the darkest Africa of the 1870s find a missionary's daughter, who was captured as a child by a savage tribe and now worshiped as a goddess.",W.S. Van Dyke,W.S. Van Dyke,nm0886754,50,No,1,0,0,W.S. Van Dyke,0,0,0,0,1,x,x,x,x,x,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1931,1932,5,OUTSTANDING PRODUCTION,ARROWSMITH,FALSE,tt0021622,Drama,108,USA,"English, Italian, Swedish","Sinclair Lewis, Sidney Howard",John Ford Productions,"Ronald Colman, Helen Hayes, Richard Bennett, A.E. Anson, Clarence Brooks, Alec B. Francis, Claude King, Bert Roach, Myrna Loy, Russell Hopton, David Landau, Lumsden Hare","A medical researcher is sent to a plague outbreak, where he has to decide priorities for the use of a vaccine.",John Ford,John Ford,nm0000406,75,No,4,0,0,John Ford,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,1932,5,OUTSTANDING PRODUCTION,BAD GIRL,FALSE,tt0021635,"Drama, Romance",90,USA,English,"Vií±a Delmar, Brian Marlow",Fox Film Corporation,"James Dunn, Sally Eilers, Minna Gombell","A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage.",Frank Borzage,Frank Borzage,nm0097648,67,Yes,3,1,TRUE,Frank Borzage,2,2,1,1,2,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
