year_film,year_ceremony,ceremony,category,film,Best_Pic_Winner,imdb_title_id,genre,duration,country,language,writer,production_company,actors,description,first_director,Director,director_id,Dir_Cum_Films,Producer,count_of_film_nominations,nominated_for_best_director,best_directing_win,first_dir,best_directing_nomination_sum,best_directing_win_sum,prior_best_directing_nominations,prior_best_directing_wins,running_best_picture_nomination,Globes_Best_Dir_Winner,Globes_Best_Pic_Winner,bafta,cannes,DGA_Winner,Drama,Adventure,War,Musical,Sci-Fi,Thriller,Romance,Animation,Film-Noir,Horror,Mystery,Music,Action,Crime,Family,Fantasy,Sport,Biography,Comedy,History,Western
1942,1943,15,OUTSTANDING MOTION PICTURE,YANKEE DOODLE DANDY,FALSE,tt0035575,"Biography, Drama, Musical",126,USA,English,"Robert Buckner, Edmund Joseph",Warner Bros.,"James Cagney, Joan Leslie, Walter Huston, Richard Whorf, Irene Manning, George Tobias, Rosemary DeCamp, Jeanne Cagney, Frances Langford, George Barbier, S.Z. Sakall, Walter Catlett, Douglas Croft, Eddie Foy Jr., Minor Watson","The life of the renowned musical composer, playwright, actor, dancer, and singer",Michael Curtiz,Michael Curtiz,nm0002031,134,No,8,1,FALSE,Michael Curtiz,3,0,2,0,4,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1942,1944,16,OUTSTANDING MOTION PICTURE,CASABLANCA,TRUE,tt0034583,"Drama, Romance, War",102,USA,"English, French, German, Italian","Julius J. Epstein, Philip G. Epstein",Warner Bros.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Michael Curtiz,Michael Curtiz,nm0002031,134,No,8,1,TRUE,Michael Curtiz,4,1,3,0,5,x,x,x,x,x,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,1944,16,OUTSTANDING MOTION PICTURE,FOR WHOM THE BELL TOLLS,FALSE,tt0035896,"Adventure, Drama, History",170,USA,"English, Spanish","Dudley Nichols, Ernest Hemingway",Paramount Pictures,"Gary Cooper, Ingrid Bergman, Akim Tamiroff, Arturo de Córdova, Vladimir Sokoloff, Mikhail Rasumny, Fortunio Bonanova, Eric Feldary, Victor Varconi, Katina Paxinou, Joseph Calleia, Lilo Yarson, Alexander Granach, Adia Kuznetzoff, Leonid Snegoff","During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge.",Sam Wood,Sam Wood,nm0939992,65,Yes,9,0,0,Sam Wood,3,0,3,0,6,x,x,x,x,x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1943,1944,16,OUTSTANDING MOTION PICTURE,HEAVEN CAN WAIT,FALSE,tt0035979,"Comedy, Drama, Fantasy",112,USA,"English, French","Samson Raphaelson, Leslie Bush-Fekete",Twentieth Century Fox,"Gene Tierney, Don Ameche, Charles Coburn, Marjorie Main, Laird Cregar, Spring Byington, Allyn Joslyn, Eugene Pallette, Signe Hasso, Louis Calhern, Helene Reynolds, Aubrey Mather, Tod Andrews","An old roué arrives in Hades to review his life with Satan, who will rule on his eligibility to enter the Underworld.",Ernst Lubitsch,Ernst Lubitsch,nm0523932,71,Yes,3,1,FALSE,Ernst Lubitsch,3,0,2,0,5,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1943,1944,16,OUTSTANDING MOTION PICTURE,THE HUMAN COMEDY,FALSE,tt0036022,"Comedy, Drama, Family",117,USA,"English, Spanish","William Saroyan, Howard Estabrook",Metro-Goldwyn-Mayer (MGM),"Mickey Rooney, Frank Morgan, James Craig, Marsha Hunt, Fay Bainter, Ray Collins, Van Johnson, Donna Reed, Jackie 'Butch' Jenkins, Dorothy Morris, John Craven, Ann Ayars, Mary Nash, Henry O'Neill, Katharine Alexander",Teenager Homer Macauley stays at home in small-town Ithaca to support his family while his older brother Marcus prepares to go to war.,Clarence Brown,Clarence Brown,nm0113284,40,Yes,5,1,FALSE,Clarence Brown,3,0,2,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1942,1944,16,OUTSTANDING MOTION PICTURE,IN WHICH WE SERVE,FALSE,tt0034891,"Drama, War",114,UK,English,Noí«l Coward,Two Cities Films,"Noí«l Coward, John Mills, Bernard Miles, Celia Johnson, Kay Walsh, Joyce Carey, Derek Elphinstone, Michael Wilding, Robert Sansom, Philip Friend, Chimmo Branson, Ballard Berkeley, Hubert Gregg, James Donald, Michael Whittaker","This ""story of a ship"", the British destroyer H.M.S. Torrin, is told in flashbacks by survivors as they cling to a life raft.",Noí«l Coward,Noël Coward,nm0002021,1,Yes,2,0,0,Noël Coward,0,0,0,0,1,x,x,x,x,x,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,1944,16,OUTSTANDING MOTION PICTURE,MADAME CURIE,FALSE,tt0036126,"Biography, Drama, Romance",124,USA,English,"Paul Osborn, Hans Rameau",Metro-Goldwyn-Mayer (MGM),"Greer Garson, Walter Pidgeon, Henry Travers, Albert Bassermann, Robert Walker, C. Aubrey Smith, May Whitty, Victor Francen, Elsa Bassermann, Reginald Owen, Van Johnson, Margaret O'Brien, James Hilton","Despite himself, accomplished physicist and avowed bachelor Pierre Curie falls for brilliant student Marie, and together they embark on the discovery of radium.",Mervyn LeRoy,Mervyn LeRoy,nm0503777,51,Yes,7,0,0,Mervyn LeRoy,1,0,1,0,6,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1943,1944,16,OUTSTANDING MOTION PICTURE,THE MORE THE MERRIER,FALSE,tt0036172,"Comedy, Romance, War",104,USA,English,"Robert Russell, Frank Ross",Columbia Pictures,"Jean Arthur, Joel McCrea, Charles Coburn, Richard Gaines, Bruce Bennett, Frank Sully, Donald Douglas, Clyde Fillmore, Stanley Clements","During the World War II housing shortage in Washington, two men and a woman share a single apartment and the older man plays Cupid to the other two.",George Stevens,George Stevens,nm0828419,45,Yes,6,1,FALSE,George Stevens,1,0,0,0,3,x,x,x,x,x,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1942,1944,16,OUTSTANDING MOTION PICTURE,THE OX-BOW INCIDENT,FALSE,tt0036244,"Drama, Western",75,USA,"English, Spanish","Lamar Trotti, Walter Van Tilburg Clark",Twentieth Century Fox,"Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn, William Eythe, Harry Morgan, Jane Darwell, Matt Briggs, Harry Davenport, Frank Conroy, Marc Lawrence, Paul Hurst, Victor Kilian, Chris-Pin Martin, Willard Robertson","When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.",William A. Wellman,William A. Wellman,nm0920074,57,No,1,0,0,William A. Wellman,0,0,0,0,3,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1943,1944,16,OUTSTANDING MOTION PICTURE,THE SONG OF BERNADETTE,FALSE,tt0036377,"Biography, Drama",156,USA,"English, French","George Seaton, Franz Werfel",Twentieth Century Fox,"Jennifer Jones, Charles Bickford, Vincent Price, Lee J. Cobb, Gladys Cooper, Anne Revere, Roman Bohnen, Mary Anderson, Patricia Morison, Aubrey Mather, Charles Dingle, Edith Barrett, Sig Ruman, Blanche Yurka, Ermadean Walters","In 1858 France, Bernadette, an adolescent peasant girl, has a vision of ""a beautiful lady"" in the city dump. She never claims it to be anything other than this, but the townspeople all ...",Henry King,Henry King,nm0454771,93,No,12,1,FALSE,Henry King,1,0,0,0,4,TRUE,TRUE,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1943,1944,16,OUTSTANDING MOTION PICTURE,WATCH ON THE RHINE,FALSE,tt0036515,Drama,114,USA,"English, German","Dashiell Hammett, Lillian Hellman",Warner Bros.,"Bette Davis, Paul Lukas, Geraldine Fitzgerald, Lucile Watson, Beulah Bondi, George Coulouris, Donald Woods, Henry Daniell, Eric Roberts, Donald Buka, Anthony Caruso, Helmut Dantine, Clyde Fillmore, Erwin Kalser, Kurt Katch","A German-born engineer, his American wife and their children travel from Mexico to the United States to visit her family but their plans are complicated by a Romanian count.",Herman Shumlin,Herman Shumlin,nm0795864,1,No,4,0,0,Herman Shumlin,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,1945,17,BEST MOTION PICTURE,DOUBLE INDEMNITY,FALSE,tt0036775,"Crime, Drama, Film-Noir",107,USA,English,"Billy Wilder, Raymond Chandler",Paramount Pictures,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Jean Heather, Tom Powers, Byron Barr, Richard Gaines, Fortunio Bonanova, John Philliber",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Billy Wilder,Billy Wilder,nm0000697,4,No,7,1,FALSE,Billy Wilder,1,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1944,1945,17,BEST MOTION PICTURE,GASLIGHT,FALSE,tt0036855,"Crime, Drama, Film-Noir",114,USA,"English, Italian","John Van Druten, Walter Reisch",Metro-Goldwyn-Mayer (MGM),"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty, Angela Lansbury, Barbara Everest, Emil Rameau, Edmund Breon, Halliwell Hobbes, Tom Stevenson, Heather Thatcher, Lawrence Grossmith, Jakob Gimpel","Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane.",George Cukor,George Cukor,nm0002030,32,No,7,0,0,George Cukor,2,0,2,0,6,x,x,x,x,x,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1944,1945,17,BEST MOTION PICTURE,GOING MY WAY,TRUE,tt0036872,"Comedy, Drama, Music",126,USA,English,"Frank Butler, Frank Cavett",Paramount Pictures,"Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown, Gene Lockhart, Jean Heather, Porter Hall, Fortunio Bonanova, Eily Malyon, The Robert Mitchell Boy Choir, Risí« Stevens","Father Charles O'Malley, a young priest at a financially failing Church in a tough neighborhood, gains support and inspires his superior.",Leo McCarey,Leo McCarey,nm0564970,98,Yes,10,1,TRUE,Leo McCarey,2,2,1,1,4,TRUE,TRUE,x,x,x,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1944,1945,17,BEST MOTION PICTURE,SINCE YOU WENT AWAY,FALSE,tt0037280,"Drama, Romance, War",177,USA,"English, Yiddish","Margaret Buell Wilder, David O. Selznick",Selznick International Pictures,"Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple, Monty Woolley, Lionel Barrymore, Robert Walker, Hattie McDaniel, Agnes Moorehead, Alla Nazimova, Albert Bassermann, Gordon Oliver, Keenan Wynn, Guy Madison, Craig Stevens","With her husband away to fight in World War II, a housewife struggles to care for their two daughters - and a pair of lodgers who have moved in - alone.",John Cromwell,John Cromwell,nm0188669,36,No,9,0,0,John Cromwell,0,0,0,0,1,x,x,x,x,x,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,1945,17,BEST MOTION PICTURE,WILSON,FALSE,tt0037465,"Biography, Drama, History",154,USA,English,Lamar Trotti,Twentieth Century Fox,"Alexander Knox, Geraldine Fitzgerald, Thomas Mitchell, Ruth Nelson, Cedric Hardwicke, Charles Coburn, Vincent Price, William Eythe, Mary Anderson, Ruth Ford, Sidney Blackmer, Madeleine Forbes, Stanley Ridges, Eddie Foy Jr., Charles Halton",A chronicle of the political career of US President,Henry King,Henry King,nm0454771,94,No,10,1,FALSE,Henry King,2,0,1,0,5,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1945,1946,18,BEST MOTION PICTURE,ANCHORS AWEIGH,FALSE,tt0037514,"Comedy, Fantasy, Music",140,USA,"English, Spanish","Isobel Lennart, Natalie Marcin",Metro-Goldwyn-Mayer (MGM),"Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi, Dean Stockwell, Pamela Britton, Rags Ragland, Billy Gilbert, Henry O'Neill, Carlos Ramí­rez, Edgar Kennedy, Grady Sutton, Leon Ames, Sharon McManus, James Flavin","Two sailors, one naive, the other experienced in the ways of the world, on liberty in Los Angeles, is the setting for this movie musical.",George Sidney,George Sidney,nm0796645,30,No,5,0,0,George Sidney,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1945,1946,18,BEST MOTION PICTURE,THE BELLS OF ST. MARY'S,FALSE,tt0037536,Drama,126,USA,English,"Dudley Nichols, Leo McCarey",Rainbow Productions,"Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan, Ruth Donnelly, Joan Carroll, Martha Sleeper, Rhys Williams, Richard Tyler, Una O'Connor","At a big city Catholic school, Father O'Malley and Sister Benedict indulge in friendly rivalry, and succeed in extending the school through the gift of a building.",Leo McCarey,Leo McCarey,nm0564970,99,Yes,8,1,FALSE,Leo McCarey,3,2,2,2,5,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,1946,18,BEST MOTION PICTURE,THE LOST WEEKEND,TRUE,tt0037884,"Drama, Film-Noir",101,USA,English,"Charles R. Jackson, Charles Brackett",Paramount Pictures,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling, Frank Faylen, Mary Young, Anita Sharp-Bolster, Lilian Fontaine, Frank Orth, Lewis L. Russell",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Billy Wilder,Billy Wilder,nm0000697,6,No,7,1,TRUE,Billy Wilder,2,1,1,0,2,TRUE,TRUE,x,1,x,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1945,1946,18,BEST MOTION PICTURE,MILDRED PIERCE,FALSE,tt0037913,"Crime, Drama, Film-Noir",111,USA,English,"Ranald MacDougall, James M. Cain",Warner Bros.,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden, Ann Blyth, Bruce Bennett, Lee Patrick, Moroni Olsen, Veda Ann Borg, Jo Ann Marlowe",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,Michael Curtiz,Michael Curtiz,nm0002031,140,No,6,0,0,Michael Curtiz,4,1,4,1,6,x,x,x,x,x,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1945,1946,18,BEST MOTION PICTURE,SPELLBOUND,FALSE,tt0038109,"Film-Noir, Mystery, Romance",111,USA,English,"Ben Hecht, John Palmer",Selznick International Pictures,"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll, Rhonda Fleming, John Emery, Norman Lloyd, Bill Goodwin, Steven Geray, Donald Curtis, Wallace Ford, Art Baker, Regis Toomey, Paul Harvey",A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,Alfred Hitchcock,Alfred Hitchcock,nm0000033,43,No,6,1,FALSE,Alfred Hitchcock,3,0,2,0,4,x,x,x,x,x,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1946,1947,19,BEST MOTION PICTURE,THE BEST YEARS OF OUR LIVES,TRUE,tt0036868,"Drama, Romance, War",170,USA,English,"Robert E. Sherwood, MacKinlay Kantor",The Samuel Goldwyn Company,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Cathy O'Donnell, Hoagy Carmichael, Harold Russell, Gladys George, Roman Bohnen, Ray Collins, Minna Gombell, Walter Baldwin, Steve Cochran, Dorothy Adams",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,William Wyler,William Wyler,nm0943758,58,No,8,1,TRUE,William Wyler,6,2,5,1,8,x,TRUE,x,x,x,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,1947,19,BEST MOTION PICTURE,HENRY V,FALSE,tt0036910,"Biography, Drama, History",137,UK,"English, French",William Shakespeare,Two Cities Films,"Leslie Banks, Felix Aylmer, Robert Helpmann, Vernon Greeves, Gerald Case, Griffith Jones, Morland Graham, Nicholas Hannen, Michael Warre, Laurence Olivier, Ralph Truman, Ernest Thesiger, Frederick Cooper, Roy Emerton, Robert Newton","In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.",Laurence Olivier,Laurence Olivier,nm0000059,1,Yes,4,0,0,Laurence Olivier,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1946,1947,19,BEST MOTION PICTURE,IT'S A WONDERFUL LIFE,FALSE,tt0038650,"Drama, Family, Fantasy",130,USA,"English, French","Frances Goodrich, Albert Hackett",Liberty Films (II),"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,Frank Capra,nm0001008,49,Yes,5,1,FALSE,Frank Capra,6,3,5,3,7,TRUE,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1946,1947,19,BEST MOTION PICTURE,THE RAZOR'S EDGE,FALSE,tt0038873,"Drama, Romance",145,USA,"English, French","Lamar Trotti, W. Somerset Maugham",Twentieth Century Fox,"Tyrone Power, Gene Tierney, John Payne, Anne Baxter, Clifton Webb, Herbert Marshall, Lucile Watson, Frank Latimore, Elsa Lanchester, Fritz Kortner, John Wengraf, Cecil Humphreys, Harry Pilcer, Cobina Wright Sr.","An adventuresome young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.",Edmund Goulding,Edmund Goulding,nm0332539,28,No,4,0,0,Edmund Goulding,0,0,0,0,3,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,1947,19,BEST MOTION PICTURE,THE YEARLING,FALSE,tt0039111,"Drama, Family, Western",128,USA,English,"Paul Osborn, Marjorie Kinnan Rawlings",Metro-Goldwyn-Mayer (MGM),"Gregory Peck, Jane Wyman, Claude Jarman Jr., Chill Wills, Clem Bevans, Margaret Wycherly, Henry Travers, Forrest Tucker, Donn Gift","A boy persuades his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?",Clarence Brown,Clarence Brown,nm0113284,43,Yes,7,1,FALSE,Clarence Brown,5,0,4,0,2,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1947,1948,20,BEST MOTION PICTURE,THE BISHOP'S WIFE,FALSE,tt0039190,"Comedy, Drama, Fantasy",109,USA,"English, French","Robert E. Sherwood, Leonardo Bercovici",The Samuel Goldwyn Company,"Cary Grant, Loretta Young, David Niven, Monty Woolley, James Gleason, Gladys Cooper, Elsa Lanchester, Sara Haden, Karolyn Grimes, Tito Vuolo, Regis Toomey, Sarah Edwards, Margaret McWade, Anne O'Neal, Ben Erway",An angel in human form enters the life of a bishop in order to help him build a new cathedral and repair his fractured marriage.,Henry Koster,Henry Koster,nm0467396,21,No,5,1,FALSE,Henry Koster,1,0,0,0,3,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1947,1948,20,BEST MOTION PICTURE,CROSSFIRE,FALSE,tt0039286,"Crime, Drama, Film-Noir",86,USA,English,"John Paxton, Richard Brooks",RKO Radio Pictures,"Robert Young, Robert Mitchum, Robert Ryan, Gloria Grahame, Paul Kelly, Sam Levene, Jacqueline White, Steve Brodie, George Cooper, Richard Benedict, Tom Keene, William Phipps, Lex Barker, Marlo Dwyer","A man is murdered, apparently by one of a group of demobilized soldiers he met in a bar. But which one? And why?",Edward Dmytryk,Edward Dmytryk,nm0229424,26,No,5,1,FALSE,Edward Dmytryk,1,0,0,0,1,x,x,x,1,x,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1947,1948,20,BEST MOTION PICTURE,GENTLEMAN'S AGREEMENT,TRUE,tt0039416,"Drama, Romance",118,USA,English,"Laura Z. Hobson, Moss Hart",Twentieth Century Fox,"Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm, Anne Revere, June Havoc, Albert Dekker, Jane Wyatt, Dean Stockwell, Nicholas Joy, Sam Jaffe, Harold Vermilyea, Ransom M. Sherman","A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.",Elia Kazan,Elia Kazan,nm0001415,5,No,8,1,TRUE,Elia Kazan,1,1,0,0,1,TRUE,TRUE,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,1948,20,BEST MOTION PICTURE,GREAT EXPECTATIONS,FALSE,tt0038574,"Adventure, Drama, Mystery",118,UK,English,"Charles Dickens, David Lean",Cineguild,"John Mills, Tony Wager, Valerie Hobson, Jean Simmons, Bernard Miles, Francis L. Sullivan, Finlay Currie, Martita Hunt, Alec Guinness, Ivor Barnard, Freda Jackson, Eileen Erskine, George Hayes, Hay Petrie, John Forrest",A humble orphan suddenly becomes a gentleman with the help of an unknown benefactor.,David Lean,David Lean,nm0000180,5,No,5,1,FALSE,David Lean,2,0,1,0,1,x,x,x,x,x,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1947,1948,20,BEST MOTION PICTURE,MIRACLE ON 34TH STREET,FALSE,tt0039628,"Comedy, Drama, Family",96,USA,"English, Dutch","George Seaton, Valentine Davies",Twentieth Century Fox,"Maureen O'Hara, John Payne, Edmund Gwenn, Gene Lockhart, Natalie Wood, Porter Hall, William Frawley, Jerome Cowan, Philip Tonge","When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",George Seaton,George Seaton,nm0780833,4,No,4,0,0,George Seaton,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1948,1949,21,BEST MOTION PICTURE,HAMLET,TRUE,tt0040416,Drama,154,UK,English,William Shakespeare,Two Cities Films,"John Laurie, Esmond Knight, Anthony Quayle, Niall MacGinnis, Harcourt Williams, Patrick Troughton, Tony Tarver, Peter Cushing, Stanley Holloway, Russell Thorndike, Basil Sydney, Eileen Herlie, Laurence Olivier, Norman Wooland, Felix Aylmer","Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former King.",Laurence Olivier,Laurence Olivier,nm0000059,2,Yes,7,1,FALSE,Laurence Olivier,1,0,0,0,2,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,1949,21,BEST MOTION PICTURE,JOHNNY BELINDA,FALSE,tt0040495,Drama,102,USA,"English, American Sign Language","Irma von Cube, Allen Vincent",Warner Bros.,"Jane Wyman, Lew Ayres, Charles Bickford, Agnes Moorehead, Stephen McNally, Jan Sterling, Rosalind Ivan, Dan Seymour, Mabel Paige, Ida Moore, Alan Napier","In post-war Cape Breton, a doctor's efforts to tutor a deaf/mute woman are undermined when she is raped, and the resulting pregnancy causes scandal to swirl.",Jean Negulesco,Jean Negulesco,nm0624535,58,No,12,1,FALSE,Jean Negulesco,1,0,0,0,1,x,TRUE,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,1949,21,BEST MOTION PICTURE,THE RED SHOES,FALSE,tt0040725,"Drama, Music, Romance",135,UK,"English, French, Russian","Hans Christian Andersen, Emeric Pressburger",The Archers,"Marius Goring, Jean Short, Gordon Littmann, Julia Lang, Bill Shine, Léonide Massine, Anton Walbrook, Austin Trevor, Esmond Knight, Eric Berry, Irene Browne, Moira Shearer, Ludmilla Tchérina, Jerry Verno, Robert Helpmann",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Michael Powell,Michael Powell,nm0003836,38,Yes,5,0,0,Michael Powell,0,0,0,0,2,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1948,1949,21,BEST MOTION PICTURE,THE SNAKE PIT,FALSE,tt0040806,"Drama, Mystery",108,USA,"English, German, Russian","Frank Partos, Millen Brand",Twentieth Century Fox,"Olivia de Havilland, Mark Stevens, Leo Genn, Celeste Holm, Glenn Langan, Helen Craig, Leif Erickson, Beulah Bondi, Lee Patrick, Howard Freeman, Natalie Schafer, Ruth Donnelly, Katherine Locke, Frank Conroy, Minna Gombell",A detailed chronicle of a woman during her stay in a mental institution.,Anatole Litvak,Anatole Litvak,nm0514822,25,Yes,6,1,FALSE,Anatole Litvak,1,0,0,0,2,x,x,x,x,Nominee,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1948,1949,21,BEST MOTION PICTURE,THE TREASURE OF THE SIERRA MADRE,FALSE,tt0040897,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish","John Huston, B. Traven",Warner Bros.,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,John Huston,nm0001379,8,No,4,1,TRUE,John Huston,1,1,0,0,2,TRUE,TRUE,x,x,x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1949,1950,22,BEST MOTION PICTURE,ALL THE KING'S MEN,TRUE,tt0041113,"Drama, Film-Noir",110,USA,English,"Robert Penn Warren, Robert Rossen",Columbia Pictures,"Broderick Crawford, John Ireland, Joanne Dru, John Derek, Mercedes McCambridge, Shepperd Strudwick, Ralph Dumke, Anne Seymour, Katherine Warren, Raymond Greenleaf, Walter Burke, Will Wright, Grandon Rhodes","The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.",Robert Rossen,Robert Rossen,nm0744035,3,Yes,7,1,FALSE,Robert Rossen,1,0,0,0,1,TRUE,TRUE,x,x,Winner,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1949,1950,22,BEST MOTION PICTURE,BATTLEGROUND,FALSE,tt0041163,"Action, Drama, History",118,USA,"English, French, German",Robert Pirosh,Metro-Goldwyn-Mayer (MGM),"Van Johnson, John Hodiak, Ricardo Montalban, George Murphy, Marshall Thompson, Jerome Courtland, Don Taylor, Bruce Cowling, James Whitmore, Douglas Fowley, Leon Ames, Herbert Anderson, Thomas E. Breen, Denise Darcel, Richard Jaeckel","True tale about a squad of the 101st Airborne Division coping with being trapped by the Germans in the besieged city of Bastogne, Belgium during the Battle of the Bulge in December of 1944.",William A. Wellman,William A. Wellman,nm0920074,66,No,6,1,FALSE,William A. Wellman,1,0,0,0,4,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
